match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T202406,KKR Vs Super Kings,KKR,Sunil Narine,4,0,41,3,10.25,7,3,2,0,0
T202406,KKR Vs Super Kings,KKR,Andre Russell,3,0,28,1,9.33,3,2,1,1,0
T202406,KKR Vs Super Kings,KKR,Venkatesh Iyer,1,0,5,0,5,2,0,0,0,0
T203188,Punjab Kings Vs Sunrisers,Sunrisers,Sandeep Sharma,4,0,20,1,5,12,1,1,0,0
T203188,Punjab Kings Vs Sunrisers,Sunrisers,Bhuvneshwar Kumar,4,0,34,1,8.5,10,3,1,1,0
T203188,Punjab Kings Vs Sunrisers,Sunrisers,Jason Holder,4,0,19,3,4.75,9,0,0,1,0
T203188,Punjab Kings Vs Sunrisers,Sunrisers,Khaleel Ahmed,3,0,22,0,7.33,5,2,0,1,0
T203188,Punjab Kings Vs Sunrisers,Sunrisers,Rashid Khan,4,0,17,1,4.25,11,1,0,0,0
T203188,Punjab Kings Vs Sunrisers,Sunrisers,Abdul Samad,1,0,9,1,9,1,1,0,0,0
T203188,Punjab Kings Vs Sunrisers,Punjab Kings,Mohammed Shami,4,1,14,2,3.5,17,0,1,0,0
